# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 0
# model = bernoulli_model
# start_datetime = 2024-01-27 16:21:02 UTC
# method = pathfinder
#   pathfinder
#     init_alpha = 0.001000 (Default)
#     tol_obj = 0.000000
#     tol_rel_obj = 1000.000000
#     tol_grad = 0.000000 (Default)
#     tol_rel_grad = 10000000.000000 (Default)
#     tol_param = 0.000000 (Default)
#     history_size = 5 (Default)
#     num_psis_draws = 1000 (Default)
#     num_paths = 4 (Default)
#     save_single_paths = 0 (Default)
#     psis_resample = 1 (Default)
#     calculate_lp = 1 (Default)
#     max_lbfgs_iters = 1000 (Default)
#     num_draws = 25
#     num_elbo_draws = 25 (Default)
# id = 4
# data
#   file = /Users/rob/.julia/dev/StanPathfinder/examples/Bernoulli/tmp/bernoulli_data_4.json
# init = 2 (Default)
# random
#   seed = 69362192
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /Users/rob/.julia/dev/StanPathfinder/examples/Bernoulli/tmp/bernoulli_profile_4.log
#   save_cmdstan_config = 1
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.1-101-g8f2dbe7
# stancflags = --warn-pedantic
lp_approx__,lp__,theta
-0.691353, -7.88686, 0.242839
-0.560057, -7.79227, 0.411257
-0.671088, -7.89224, 0.434022
-3.37139, -9.91775, 0.104483
-0.446488, -7.65774, 0.360597
-0.835821, -8.01767, 0.223418
-0.793569, -7.98409, 0.22796
-1.88039, -8.89296, 0.149749
-0.427512, -7.63856, 0.329521
-0.448701, -7.66041, 0.305068
-1.56446, -8.63896, 0.165744
-0.730483, -7.95396, 0.445907
-1.88039, -8.89296, 0.149749
-1.20678, -8.33977, 0.189015
-1.01444, -8.25493, 0.491951
-1.06995, -8.2162, 0.200672
-1.88039, -8.89296, 0.149749
-0.835821, -8.01767, 0.223418
-0.925333, -8.09721, 0.213566
-0.811927, -7.99671, 0.226223
-0.730483, -7.95396, 0.445907
-1.01444, -8.25493, 0.491951
-0.821612, -8.00494, 0.225109
-2.87306, -10.185, 0.653755
-2.68302, -9.44249, 0.122565
-0.44436, -7.67538, 0.296953
-0.61089, -7.8282, 0.420089
-0.711364, -7.91324, 0.238504
-1.08706, -8.23767, 0.198536
-0.711364, -7.91324, 0.238504
-0.862279, -8.04143, 0.22035
-0.427512, -7.63856, 0.329521
-0.44436, -7.67538, 0.296953
-0.560057, -7.79227, 0.411257
-2.87306, -10.185, 0.653755
-0.514677, -7.72877, 0.392724
-1.31325, -8.58264, 0.53031
-1.30825, -8.57528, 0.529533
-4.12506, -10.5168, 0.0864301
-0.53594, -7.74986, 0.399427
-1.48113, -8.76551, 0.548672
-0.588993, -7.80605, 0.41475
-0.474068, -7.70671, 0.384845
-4.17344, -10.4441, 0.088395
-1.09308, -8.34284, 0.503105
-2.04562, -9.02049, 0.142662
-4.17344, -10.4441, 0.088395
-4.12506, -10.5168, 0.0864301
-0.546016, -7.76125, 0.40279
-3.55399, -10.1199, 0.0978876
-0.672724, -7.87035, 0.245691
-0.691353, -7.88686, 0.242839
-0.821612, -8.00494, 0.225109
-1.08706, -8.23767, 0.198536
-0.821612, -8.00494, 0.225109
-0.682204, -7.87952, 0.244093
-2.04698, -8.98049, 0.144826
-0.682204, -7.87952, 0.244093
-4.17344, -10.4441, 0.088395
-2.04698, -8.98049, 0.144826
-0.481688, -7.69131, 0.290045
-0.772631, -7.99971, 0.453998
-2.51812, -9.81715, 0.630979
-1.88039, -8.89296, 0.149749
-0.641046, -7.85913, 0.427063
-0.451336, -7.66195, 0.304126
-0.474068, -7.70671, 0.384845
-0.763093, -7.95222, 0.232526
-0.467127, -7.6788, 0.372816
-1.88039, -8.89296, 0.149749
-0.579318, -7.78382, 0.262982
-0.410281, -7.64413, 0.348302
-0.796327, -8.0313, 0.459294
-0.42969, -7.64187, 0.345106
-0.835821, -8.01767, 0.223418
-0.788209, -7.97522, 0.229204
-0.811927, -7.99671, 0.226223
-0.61089, -7.8282, 0.420089
-0.481688, -7.69131, 0.290045
-1.01444, -8.25493, 0.491951
-0.677283, -7.87395, 0.24506
-0.452697, -7.66515, 0.365408
-0.577986, -7.79277, 0.411385
-0.793569, -7.98409, 0.22796
-1.14164, -8.2844, 0.194053
-0.467127, -7.6788, 0.372816
-2.04562, -9.02049, 0.142662
-0.494103, -7.70538, 0.384334
-0.61089, -7.8282, 0.420089
-0.575274, -7.79172, 0.411114
-1.83112, -8.85201, 0.152147
-0.875211, -8.05291, 0.218908
-0.42969, -7.64187, 0.345106
-0.448701, -7.66041, 0.305068
-0.463135, -7.69591, 0.38054
-0.8433, -8.02436, 0.222543
-0.410281, -7.64413, 0.348302
-2.04698, -8.98049, 0.144826
-0.427252, -7.63831, 0.335582
-4.12506, -10.5168, 0.0864301
-0.53594, -7.74986, 0.399427
-0.463135, -7.69591, 0.38054
-1.09308, -8.34284, 0.503105
-2.28067, -9.63464, 0.618752
-1.04605, -8.19646, 0.202684
-0.875211, -8.05291, 0.218908
-0.523955, -7.73069, 0.276715
-1.09308, -8.34284, 0.503105
-0.901093, -8.13658, 0.47558
-0.579318, -7.78382, 0.262982
-4.12506, -10.5168, 0.0864301
-0.691353, -7.88686, 0.242839
-0.514677, -7.72877, 0.392724
-1.04605, -8.19646, 0.202684
-1.7609, -9.06858, 0.575816
-0.428423, -7.63819, 0.332439
-0.714812, -7.90882, 0.239213
-0.647752, -7.84793, 0.249757
